2021-03-01 11:21:36.646 [main] INFO  top.anets.EinvoiceApplication - Starting EinvoiceApplication on WIN-3DFGP6SS4I1 with PID 13296 (D:\eclipse-sts\workspace\tmooc\E-invoice\target\classes started by Administrator in D:\eclipse-sts\workspace\tmooc\E-invoice)
2021-03-01 14:30:41.509 [http-nio-2000-exec-5] INFO  top.anets.utils.guoXin.RequestUtils - 请求结果:<?xml version='1.0' encoding='UTF-8'?><interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ1.0"> <globalInfo><appId>0</appId><interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode><requestCode>DZFPQZ</requestCode><requestTime>2021-03-01 14:30:41:12</requestTime><responseCode>1</responseCode><dataExchangeId>DZFPQZDFXJ1008202103017ae1d5af-</dataExchangeId></globalInfo><returnStateInfo><returnCode>0000</returnCode><returnMessage><![CDATA[此发票已经开具过]]></returnMessage></returnStateInfo><Data><dataDescription><zipCode>0</zipCode></dataDescription><content>PFJFU1BPTlNFPjxGUFFRTFNIPjAwMDAwMDAxNDQxMDE8L0ZQUVFMU0g+PEZQX0RNPjA1MDAwMzUyMTEwNzwvRlBfRE0+PEZQX0hNPjM1Njk2MTIwPC9GUF9ITT48SllNPjAwODE0OTczMTk2NTg2NzUwMzcxPC9KWU0+PEtQUlE+MjAyMTAxMTEyMTUwMDQ8L0tQUlE+PFBERl9VUkw+PCFbQ0RBVEFbaHR0cDovL2Rldi5mYXBpYW8uY29tOjE5MDgwL2R6ZnAtd2ViL3BkZi9kb3dubG9hZD9yZXF1ZXN0PWU1dWhmOFdFVElPTWdhYTJjQ1VNdHUyRnZJc3FHRHYzRzFzQk9xVEM5TFVNTnFTQkE0cUxtUEU4dFRNMWM3QllJSVEzdWNYbm9NWV8lNUVDaEFBZGppSmRnXV0+PC9QREZfVVJMPjxTUF9VUkw+PCFbQ0RBVEFbaHR0cHM6Ly90ZXN0d3guZmFwaWFvLmNvbS9mcHQtd2VjaGF0L3d4YWRkY2FyZC5kbz9jb2RlPSUyQmFVcyUyRmlEZDRsYU4wTlBZamEyODVYJTJGZzNNQm5qQzR6Q2ZPSlE1N0w4WHdQeXZocE5ZZGJBQWgzUzlKbGUxdjVqM0dOaWxrMDZHQkklMEFnTVNkem80TkJBJTNEJTNEXV0+PC9TUF9VUkw+PC9SRVNQT05TRT4=</content></Data></interface>
2021-03-01 14:30:41.509 [http-nio-2000-exec-5] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 返回结果:<?xml version='1.0' encoding='UTF-8'?><interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ1.0"> <globalInfo><appId>0</appId><interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode><requestCode>DZFPQZ</requestCode><requestTime>2021-03-01 14:30:41:12</requestTime><responseCode>1</responseCode><dataExchangeId>DZFPQZDFXJ1008202103017ae1d5af-</dataExchangeId></globalInfo><returnStateInfo><returnCode>0000</returnCode><returnMessage><![CDATA[此发票已经开具过]]></returnMessage></returnStateInfo><Data><dataDescription><zipCode>0</zipCode></dataDescription><content>PFJFU1BPTlNFPjxGUFFRTFNIPjAwMDAwMDAxNDQxMDE8L0ZQUVFMU0g+PEZQX0RNPjA1MDAwMzUyMTEwNzwvRlBfRE0+PEZQX0hNPjM1Njk2MTIwPC9GUF9ITT48SllNPjAwODE0OTczMTk2NTg2NzUwMzcxPC9KWU0+PEtQUlE+MjAyMTAxMTEyMTUwMDQ8L0tQUlE+PFBERl9VUkw+PCFbQ0RBVEFbaHR0cDovL2Rldi5mYXBpYW8uY29tOjE5MDgwL2R6ZnAtd2ViL3BkZi9kb3dubG9hZD9yZXF1ZXN0PWU1dWhmOFdFVElPTWdhYTJjQ1VNdHUyRnZJc3FHRHYzRzFzQk9xVEM5TFVNTnFTQkE0cUxtUEU4dFRNMWM3QllJSVEzdWNYbm9NWV8lNUVDaEFBZGppSmRnXV0+PC9QREZfVVJMPjxTUF9VUkw+PCFbQ0RBVEFbaHR0cHM6Ly90ZXN0d3guZmFwaWFvLmNvbS9mcHQtd2VjaGF0L3d4YWRkY2FyZC5kbz9jb2RlPSUyQmFVcyUyRmlEZDRsYU4wTlBZamEyODVYJTJGZzNNQm5qQzR6Q2ZPSlE1N0w4WHdQeXZocE5ZZGJBQWgzUzlKbGUxdjVqM0dOaWxrMDZHQkklMEFnTVNkem80TkJBJTNEJTNEXV0+PC9TUF9VUkw+PC9SRVNQT05TRT4=</content></Data></interface>
2021-03-01 14:30:41.511 [http-nio-2000-exec-5] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 获取的加密内容:PFJFU1BPTlNFPjxGUFFRTFNIPjAwMDAwMDAxNDQxMDE8L0ZQUVFMU0g+PEZQX0RNPjA1MDAwMzUyMTEwNzwvRlBfRE0+PEZQX0hNPjM1Njk2MTIwPC9GUF9ITT48SllNPjAwODE0OTczMTk2NTg2NzUwMzcxPC9KWU0+PEtQUlE+MjAyMTAxMTEyMTUwMDQ8L0tQUlE+PFBERl9VUkw+PCFbQ0RBVEFbaHR0cDovL2Rldi5mYXBpYW8uY29tOjE5MDgwL2R6ZnAtd2ViL3BkZi9kb3dubG9hZD9yZXF1ZXN0PWU1dWhmOFdFVElPTWdhYTJjQ1VNdHUyRnZJc3FHRHYzRzFzQk9xVEM5TFVNTnFTQkE0cUxtUEU4dFRNMWM3QllJSVEzdWNYbm9NWV8lNUVDaEFBZGppSmRnXV0+PC9QREZfVVJMPjxTUF9VUkw+PCFbQ0RBVEFbaHR0cHM6Ly90ZXN0d3guZmFwaWFvLmNvbS9mcHQtd2VjaGF0L3d4YWRkY2FyZC5kbz9jb2RlPSUyQmFVcyUyRmlEZDRsYU4wTlBZamEyODVYJTJGZzNNQm5qQzR6Q2ZPSlE1N0w4WHdQeXZocE5ZZGJBQWgzUzlKbGUxdjVqM0dOaWxrMDZHQkklMEFnTVNkem80TkJBJTNEJTNEXV0+PC9TUF9VUkw+PC9SRVNQT05TRT4=
2021-03-01 14:30:41.512 [http-nio-2000-exec-5] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 解析加密:<RESPONSE><FPQQLSH>0000000144101</FPQQLSH><FP_DM>050003521107</FP_DM><FP_HM>35696120</FP_HM><JYM>00814973196586750371</JYM><KPRQ>20210111215004</KPRQ><PDF_URL><![CDATA[http://dev.fapiao.com:19080/dzfp-web/pdf/download?request=e5uhf8WETIOMgaa2cCUMtu2FvIsqGDv3G1sBOqTC9LUMNqSBA4qLmPE8tTM1c7BYIIQ3ucXnoMY_%5EChAAdjiJdg]]></PDF_URL><SP_URL><![CDATA[https://testwx.fapiao.com/fpt-wechat/wxaddcard.do?code=%2BaUs%2FiDd4laN0NPYja285X%2Fg3MBnjC4zCfOJQ57L8XwPyvhpNYdbAAh3S9Jle1v5j3GNilk06GBI%0AgMSdzo4NBA%3D%3D]]></SP_URL></RESPONSE>
2021-03-01 14:30:41.513 [http-nio-2000-exec-5] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 红冲结果:InvoiceResult [data=null, code=null, success=true, msg=null, groupStatus=9, docNum=0000000144, groupNum=101, goldtaxCode=050003521107, goldtaxNum=35696120, billGdate=20210111215004, hjje=null, hjse=null, jshj=null, ePdfUrl=http://dev.fapiao.com:19080/dzfp-web/pdf/download?request=e5uhf8WETIOMgaa2cCUMtu2FvIsqGDv3G1sBOqTC9LUMNqSBA4qLmPE8tTM1c7BYIIQ3ucXnoMY_%5EChAAdjiJdg]
2021-03-01 14:31:20.674 [http-nio-2000-exec-9] INFO  top.anets.service.impl.InvoiceViewServiceImpl - 整单红冲:8000000001
2021-03-01 14:31:20.688 [http-nio-2000-exec-9] INFO  top.anets.utils.GuoXin - 请求xml内容:<REQUEST_COMMON_FPKSHC class="REQUEST_COMMON_FPKSHC"><FPQQLSH>8000000001101</FPQQLSH><XSF_MC>百旺电子测试2</XSF_MC><XSF_NSRSBH>110109500321655</XSF_NSRSBH><YFP_DM>050003521107</YFP_DM><YFP_HM>35696128</YFP_HM></REQUEST_COMMON_FPKSHC>
2021-03-01 14:31:20.688 [http-nio-2000-exec-9] INFO  top.anets.utils.GuoXin - 秘钥:5EE6C2C11DD421F2
2021-03-01 14:31:20.689 [http-nio-2000-exec-9] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 请求报文:<?xml version='1.0' encoding='UTF-8'?> <interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ0.2"> <globalInfo> <appId>6d29f136114544bcc73edcce960c430231183cc192c433e2b9ebcad56e8ceb08</appId> <interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode> <requestCode>DZFPQZ</requestCode> <requestTime>2021-03-01 14:31:20</requestTime> <responseCode>DS</responseCode> <dataExchangeId>DZFPQZDFXJ1008202103016e345080-</dataExchangeId> </globalInfo> <returnStateInfo> <returnCode></returnCode> <returnMessage></returnMessage> </returnStateInfo> <Data><dataDescription> <zipCode>0</zipCode> </dataDescription> <content>PFJFUVVFU1RfQ09NTU9OX0ZQS1NIQyBjbGFzcz0iUkVRVUVTVF9DT01NT05fRlBLU0hDIj48RlBRUUxTSD44MDAwMDAwMDAxMTAxPC9GUFFRTFNIPjxYU0ZfTUM+55m+5pe655S15a2Q5rWL6K+VMjwvWFNGX01DPjxYU0ZfTlNSU0JIPjExMDEwOTUwMDMyMTY1NTwvWFNGX05TUlNCSD48WUZQX0RNPjA1MDAwMzUyMTEwNzwvWUZQX0RNPjxZRlBfSE0+MzU2OTYxMjg8L1lGUF9ITT48L1JFUVVFU1RfQ09NTU9OX0ZQS1NIQz4=</content> <contentKey>JJU424J9AHrHKaenz1jEak4DqqoNb+A22+ddwMpH6XFU4pYCt+SUydvtom101qqc</contentKey> </Data> </interface>
2021-03-01 14:31:20.691 [http-nio-2000-exec-9] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书地址-----:F:/zhys/zhengshu/testISSUE.pfx
2021-03-01 14:31:20.691 [http-nio-2000-exec-9] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书密码-----:123456
2021-03-01 14:31:20.691 [http-nio-2000-exec-9] INFO  top.anets.utils.guoXin.RequestUtils - http请求开始，请求地址：https://dev.fapiao.com:18944/fpt-dsqz/invoice
2021-03-01 14:31:22.802 [http-nio-2000-exec-9] INFO  top.anets.utils.guoXin.RequestUtils - 请求结果:<?xml version='1.0' encoding='UTF-8'?><interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ1.0"> <globalInfo><appId>0</appId><interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode><requestCode>DZFPQZ</requestCode><requestTime>2021-03-01 14:31:22:301</requestTime><responseCode>1</responseCode><dataExchangeId>DZFPQZDFXJ1008202103016e345080-</dataExchangeId></globalInfo><returnStateInfo><returnCode>0000</returnCode><returnMessage><![CDATA[此发票已经开具过]]></returnMessage></returnStateInfo><Data><dataDescription><zipCode>0</zipCode></dataDescription><content>PFJFU1BPTlNFPjxGUFFRTFNIPjgwMDAwMDAwMDExMDE8L0ZQUVFMU0g+PEZQX0RNPjA1MDAwMzUyMTEwNzwvRlBfRE0+PEZQX0hNPjM1Njk2MTI4PC9GUF9ITT48SllNPjE2ODg0NTM1OTc5MTcyODE2MDQ1PC9KWU0+PEtQUlE+MjAyMTAxMTEyMjQxMTc8L0tQUlE+PFBERl9VUkw+PCFbQ0RBVEFbaHR0cDovL2Rldi5mYXBpYW8uY29tOjE5MDgwL2R6ZnAtd2ViL3BkZi9kb3dubG9hZD9yZXF1ZXN0PWU1dWhmOFdFVElPTWdhYTJjQ1VNdGxDQjJDd0VqMWE4RzJZdUYyZ09EczhNTnFTQkE0cUxtUEU4dFRNMWM3QllEckhVd3daVXdad18lNUVEaGhEYWNhQWRhXV0+PC9QREZfVVJMPjxTUF9VUkw+PCFbQ0RBVEFbaHR0cHM6Ly90ZXN0d3guZmFwaWFvLmNvbS9mcHQtd2VjaGF0L3d4YWRkY2FyZC5kbz9jb2RlPSUyQmFVcyUyRmlEZDRsYU4wTlBZamEyODVkNmM5U3hKJTJCSEtyY0NLWGRKRkthWjhITVJ4OHpza3pGJTJGZERZQUZncGRMcGozR05pbGswNkdCSSUwQWdNU2R6bzROQkElM0QlM0RdXT48L1NQX1VSTD48L1JFU1BPTlNFPg==</content></Data></interface>
2021-03-01 14:31:22.802 [http-nio-2000-exec-9] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 返回结果:<?xml version='1.0' encoding='UTF-8'?><interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ1.0"> <globalInfo><appId>0</appId><interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode><requestCode>DZFPQZ</requestCode><requestTime>2021-03-01 14:31:22:301</requestTime><responseCode>1</responseCode><dataExchangeId>DZFPQZDFXJ1008202103016e345080-</dataExchangeId></globalInfo><returnStateInfo><returnCode>0000</returnCode><returnMessage><![CDATA[此发票已经开具过]]></returnMessage></returnStateInfo><Data><dataDescription><zipCode>0</zipCode></dataDescription><content>PFJFU1BPTlNFPjxGUFFRTFNIPjgwMDAwMDAwMDExMDE8L0ZQUVFMU0g+PEZQX0RNPjA1MDAwMzUyMTEwNzwvRlBfRE0+PEZQX0hNPjM1Njk2MTI4PC9GUF9ITT48SllNPjE2ODg0NTM1OTc5MTcyODE2MDQ1PC9KWU0+PEtQUlE+MjAyMTAxMTEyMjQxMTc8L0tQUlE+PFBERl9VUkw+PCFbQ0RBVEFbaHR0cDovL2Rldi5mYXBpYW8uY29tOjE5MDgwL2R6ZnAtd2ViL3BkZi9kb3dubG9hZD9yZXF1ZXN0PWU1dWhmOFdFVElPTWdhYTJjQ1VNdGxDQjJDd0VqMWE4RzJZdUYyZ09EczhNTnFTQkE0cUxtUEU4dFRNMWM3QllEckhVd3daVXdad18lNUVEaGhEYWNhQWRhXV0+PC9QREZfVVJMPjxTUF9VUkw+PCFbQ0RBVEFbaHR0cHM6Ly90ZXN0d3guZmFwaWFvLmNvbS9mcHQtd2VjaGF0L3d4YWRkY2FyZC5kbz9jb2RlPSUyQmFVcyUyRmlEZDRsYU4wTlBZamEyODVkNmM5U3hKJTJCSEtyY0NLWGRKRkthWjhITVJ4OHpza3pGJTJGZERZQUZncGRMcGozR05pbGswNkdCSSUwQWdNU2R6bzROQkElM0QlM0RdXT48L1NQX1VSTD48L1JFU1BPTlNFPg==</content></Data></interface>
2021-03-01 14:31:22.804 [http-nio-2000-exec-9] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 获取的加密内容:PFJFU1BPTlNFPjxGUFFRTFNIPjgwMDAwMDAwMDExMDE8L0ZQUVFMU0g+PEZQX0RNPjA1MDAwMzUyMTEwNzwvRlBfRE0+PEZQX0hNPjM1Njk2MTI4PC9GUF9ITT48SllNPjE2ODg0NTM1OTc5MTcyODE2MDQ1PC9KWU0+PEtQUlE+MjAyMTAxMTEyMjQxMTc8L0tQUlE+PFBERl9VUkw+PCFbQ0RBVEFbaHR0cDovL2Rldi5mYXBpYW8uY29tOjE5MDgwL2R6ZnAtd2ViL3BkZi9kb3dubG9hZD9yZXF1ZXN0PWU1dWhmOFdFVElPTWdhYTJjQ1VNdGxDQjJDd0VqMWE4RzJZdUYyZ09EczhNTnFTQkE0cUxtUEU4dFRNMWM3QllEckhVd3daVXdad18lNUVEaGhEYWNhQWRhXV0+PC9QREZfVVJMPjxTUF9VUkw+PCFbQ0RBVEFbaHR0cHM6Ly90ZXN0d3guZmFwaWFvLmNvbS9mcHQtd2VjaGF0L3d4YWRkY2FyZC5kbz9jb2RlPSUyQmFVcyUyRmlEZDRsYU4wTlBZamEyODVkNmM5U3hKJTJCSEtyY0NLWGRKRkthWjhITVJ4OHpza3pGJTJGZERZQUZncGRMcGozR05pbGswNkdCSSUwQWdNU2R6bzROQkElM0QlM0RdXT48L1NQX1VSTD48L1JFU1BPTlNFPg==
2021-03-01 14:31:22.804 [http-nio-2000-exec-9] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 解析加密:<RESPONSE><FPQQLSH>8000000001101</FPQQLSH><FP_DM>050003521107</FP_DM><FP_HM>35696128</FP_HM><JYM>16884535979172816045</JYM><KPRQ>20210111224117</KPRQ><PDF_URL><![CDATA[http://dev.fapiao.com:19080/dzfp-web/pdf/download?request=e5uhf8WETIOMgaa2cCUMtlCB2CwEj1a8G2YuF2gODs8MNqSBA4qLmPE8tTM1c7BYDrHUwwZUwZw_%5EDhhDacaAda]]></PDF_URL><SP_URL><![CDATA[https://testwx.fapiao.com/fpt-wechat/wxaddcard.do?code=%2BaUs%2FiDd4laN0NPYja285d6c9SxJ%2BHKrcCKXdJFKaZ8HMRx8zskzF%2FdDYAFgpdLpj3GNilk06GBI%0AgMSdzo4NBA%3D%3D]]></SP_URL></RESPONSE>
2021-03-01 14:31:22.805 [http-nio-2000-exec-9] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 红冲结果:InvoiceResult [data=null, code=null, success=true, msg=null, groupStatus=9, docNum=8000000001, groupNum=101, goldtaxCode=050003521107, goldtaxNum=35696128, billGdate=20210111224117, hjje=null, hjse=null, jshj=null, ePdfUrl=http://dev.fapiao.com:19080/dzfp-web/pdf/download?request=e5uhf8WETIOMgaa2cCUMtlCB2CwEj1a8G2YuF2gODs8MNqSBA4qLmPE8tTM1c7BYDrHUwwZUwZw_%5EDhhDacaAda]
2021-03-01 14:31:34.639 [http-nio-2000-exec-10] INFO  top.anets.service.impl.InvoiceViewServiceImpl - 整单红冲:8000000001
2021-03-01 14:31:39.638 [http-nio-2000-exec-8] INFO  top.anets.service.impl.InvoiceViewServiceImpl - 整单红冲:0000000907
2021-03-01 14:31:39.651 [http-nio-2000-exec-8] INFO  top.anets.utils.GuoXin - 请求xml内容:<REQUEST_COMMON_FPKSHC class="REQUEST_COMMON_FPKSHC"><FPQQLSH>0000000907101</FPQQLSH><XSF_MC>百旺电子测试2</XSF_MC><XSF_NSRSBH>110109500321655</XSF_NSRSBH><YFP_DM>050003521107</YFP_DM><YFP_HM>35696127</YFP_HM></REQUEST_COMMON_FPKSHC>
2021-03-01 14:31:39.651 [http-nio-2000-exec-8] INFO  top.anets.utils.GuoXin - 秘钥:5EE6C2C11DD421F2
2021-03-01 14:31:39.651 [http-nio-2000-exec-8] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 请求报文:<?xml version='1.0' encoding='UTF-8'?> <interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ0.2"> <globalInfo> <appId>6d29f136114544bcc73edcce960c430231183cc192c433e2b9ebcad56e8ceb08</appId> <interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode> <requestCode>DZFPQZ</requestCode> <requestTime>2021-03-01 14:31:39</requestTime> <responseCode>DS</responseCode> <dataExchangeId>DZFPQZDFXJ1008202103015fdda41c-</dataExchangeId> </globalInfo> <returnStateInfo> <returnCode></returnCode> <returnMessage></returnMessage> </returnStateInfo> <Data><dataDescription> <zipCode>0</zipCode> </dataDescription> <content>PFJFUVVFU1RfQ09NTU9OX0ZQS1NIQyBjbGFzcz0iUkVRVUVTVF9DT01NT05fRlBLU0hDIj48RlBRUUxTSD4wMDAwMDAwOTA3MTAxPC9GUFFRTFNIPjxYU0ZfTUM+55m+5pe655S15a2Q5rWL6K+VMjwvWFNGX01DPjxYU0ZfTlNSU0JIPjExMDEwOTUwMDMyMTY1NTwvWFNGX05TUlNCSD48WUZQX0RNPjA1MDAwMzUyMTEwNzwvWUZQX0RNPjxZRlBfSE0+MzU2OTYxMjc8L1lGUF9ITT48L1JFUVVFU1RfQ09NTU9OX0ZQS1NIQz4=</content> <contentKey>DimWb+LVpQCnumKedvK60eVvyyNLGvMiJJO9Pe9jiNRU4pYCt+SUydvtom101qqc</contentKey> </Data> </interface>
2021-03-01 14:31:39.652 [http-nio-2000-exec-8] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书地址-----:F:/zhys/zhengshu/testISSUE.pfx
2021-03-01 14:31:39.652 [http-nio-2000-exec-8] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 证书密码-----:123456
2021-03-01 14:31:39.652 [http-nio-2000-exec-8] INFO  top.anets.utils.guoXin.RequestUtils - http请求开始，请求地址：https://dev.fapiao.com:18944/fpt-dsqz/invoice
2021-03-01 14:31:41.940 [http-nio-2000-exec-8] INFO  top.anets.utils.guoXin.RequestUtils - 请求结果:<?xml version='1.0' encoding='UTF-8'?><interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ1.0"> <globalInfo><appId>0</appId><interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode><requestCode>DZFPQZ</requestCode><requestTime>2021-03-01 14:31:41:437</requestTime><responseCode>1</responseCode><dataExchangeId>DZFPQZDFXJ1008202103015fdda41c-</dataExchangeId></globalInfo><returnStateInfo><returnCode>0000</returnCode><returnMessage><![CDATA[此发票已经开具过]]></returnMessage></returnStateInfo><Data><dataDescription><zipCode>0</zipCode></dataDescription><content>PFJFU1BPTlNFPjxGUFFRTFNIPjAwMDAwMDA5MDcxMDE8L0ZQUVFMU0g+PEZQX0RNPjA1MDAwMzUyMTEwNzwvRlBfRE0+PEZQX0hNPjM1Njk2MTI3PC9GUF9ITT48SllNPjEzNTM2NzcyMTI3MzUyNDAzODY3PC9KWU0+PEtQUlE+MjAyMTAxMTEyMjQxMTc8L0tQUlE+PFBERl9VUkw+PCFbQ0RBVEFbaHR0cDovL2Rldi5mYXBpYW8uY29tOjE5MDgwL2R6ZnAtd2ViL3BkZi9kb3dubG9hZD9yZXF1ZXN0PWU1dWhmOFdFVElPTWdhYTJjQ1VNdG41Vnc0U09GcmQwVzRZRjlVRGkxMUFNTnFTQkE0cUxtUEU4dFRNMWM3Qllpck05MGtYaUN0Z18lNUVDY0FhamRjaGdDXV0+PC9QREZfVVJMPjxTUF9VUkw+PCFbQ0RBVEFbaHR0cHM6Ly90ZXN0d3guZmFwaWFvLmNvbS9mcHQtd2VjaGF0L3d4YWRkY2FyZC5kbz9jb2RlPSUyQmFVcyUyRmlEZDRsYU4wTlBZamEyODVVdEE5ck9JWEFSc3RyV2lYUURFdjNKbHlDU1U4TjlISmV4Wk4xSDJYZ08lMkJqM0dOaWxrMDZHQkklMEFnTVNkem80TkJBJTNEJTNEXV0+PC9TUF9VUkw+PC9SRVNQT05TRT4=</content></Data></interface>
2021-03-01 14:31:41.940 [http-nio-2000-exec-8] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 返回结果:<?xml version='1.0' encoding='UTF-8'?><interface xmlns="" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:schemaLocation="http://www.chinatax.gov.cn/tirip/dataspec/interfaces.xsd" version="DZFPQZ1.0"> <globalInfo><appId>0</appId><interfaceId></interfaceId><interfaceCode>DFXJ1008</interfaceCode><requestCode>DZFPQZ</requestCode><requestTime>2021-03-01 14:31:41:437</requestTime><responseCode>1</responseCode><dataExchangeId>DZFPQZDFXJ1008202103015fdda41c-</dataExchangeId></globalInfo><returnStateInfo><returnCode>0000</returnCode><returnMessage><![CDATA[此发票已经开具过]]></returnMessage></returnStateInfo><Data><dataDescription><zipCode>0</zipCode></dataDescription><content>PFJFU1BPTlNFPjxGUFFRTFNIPjAwMDAwMDA5MDcxMDE8L0ZQUVFMU0g+PEZQX0RNPjA1MDAwMzUyMTEwNzwvRlBfRE0+PEZQX0hNPjM1Njk2MTI3PC9GUF9ITT48SllNPjEzNTM2NzcyMTI3MzUyNDAzODY3PC9KWU0+PEtQUlE+MjAyMTAxMTEyMjQxMTc8L0tQUlE+PFBERl9VUkw+PCFbQ0RBVEFbaHR0cDovL2Rldi5mYXBpYW8uY29tOjE5MDgwL2R6ZnAtd2ViL3BkZi9kb3dubG9hZD9yZXF1ZXN0PWU1dWhmOFdFVElPTWdhYTJjQ1VNdG41Vnc0U09GcmQwVzRZRjlVRGkxMUFNTnFTQkE0cUxtUEU4dFRNMWM3Qllpck05MGtYaUN0Z18lNUVDY0FhamRjaGdDXV0+PC9QREZfVVJMPjxTUF9VUkw+PCFbQ0RBVEFbaHR0cHM6Ly90ZXN0d3guZmFwaWFvLmNvbS9mcHQtd2VjaGF0L3d4YWRkY2FyZC5kbz9jb2RlPSUyQmFVcyUyRmlEZDRsYU4wTlBZamEyODVVdEE5ck9JWEFSc3RyV2lYUURFdjNKbHlDU1U4TjlISmV4Wk4xSDJYZ08lMkJqM0dOaWxrMDZHQkklMEFnTVNkem80TkJBJTNEJTNEXV0+PC9TUF9VUkw+PC9SRVNQT05TRT4=</content></Data></interface>
2021-03-01 14:31:41.942 [http-nio-2000-exec-8] INFO  top.anets.service.impl.GuoXinInvoiceServiceImpl - 获取的加密内容:PFJFU1BPTlNFPjxGUFFRTFNIPjAwMDAwMDA5MDcxMDE8L0ZQUVFMU0g+PEZQX0RNPjA1MDAwMzUyMTEwNzwvRlBfRE0+PEZQX0hNPjM1Njk2MTI3PC9GUF9ITT48SllNPjEzNTM2NzcyMTI3MzUyNDAzODY3PC9KWU0+PEtQUlE+MjAyMTAxMTEyMjQxMTc8L0tQUlE+PFBERl9VUkw+PCFbQ0RBVEFbaHR0cDovL2Rldi5mYXBpYW8uY29tOjE5MDgwL2R6ZnAtd2ViL3BkZi9kb3dubG9hZD9yZXF1ZXN0PWU1dWhmOFdFVElPTWdhYTJjQ1VNdG41Vnc0U09GcmQwVzRZRjlVRGkxMUFNTnFTQkE0cUxtUEU4dFRNMWM3Qllpck05MGtYaUN0Z18lNUVDY0FhamRjaGdDXV0+PC9QREZfVVJMPjxTUF9VUkw+PCFbQ0RBVEFbaHR0cHM6Ly90ZXN0d3guZmFwaWFvLmNvbS9mcHQtd2VjaGF0L3d4YWRkY2FyZC5kbz9jb2RlPSUyQmFVcyUyRmlEZDRsYU4wTlBZamEyODVVdEE5ck9JWEFSc3RyV2lYUURFdjNKbHlDU1U4TjlISmV4Wk4xSDJYZ08lMkJqM0dOaWxrMDZHQkklMEFnTVNkem80TkJBJTNEJTNEXV0+PC9TUF9VUkw+PC9SRVNQT05TRT4=
